time,open,high,low,close,EMA,Volume
1711943100,22455,22529.949,22427.75,22462,22139.413629341605,243637071
1712029500,22458.801,22497.6,22388.15,22453.301,22169.307664642405,289524237
1712115900,22385.699,22521.1,22346.5,22434.65,22194.57836324789,309647491
1712202300,22592.1,22619,22303.801,22514.65,22225.0613762719,400986156
1712288700,22486.4,22537.6,22427.6,22513.699,22252.550673769816,242244731
1712547900,22578.35,22697.301,22550.35,22666.301,22291.95546674412,227633561
1712634300,22765.1,22768.4,22612.25,22642.75,22325.364469911347,232356772
1712720700,22720.25,22775.699,22673.699,22753.801,22366.16794896741,276847931
1712893500,22677.4,22726.449,22503.75,22519.4,22380.76147763718,357187778
1713152700,22339.051,22427.449,22259.551,22272.5,22370.450860719353,355465814
1713239100,22125.301,22213.75,22079.449,22147.9,22349.255540650844,317267066
1713411900,22212.35,22326.5,21961.699,21995.85,22315.59787011267,456906707
1713498300,21861.5,22179.551,21777.65,22147,22299.54093010194,362530569
1713757500,22336.9,22375.65,22198.15,22336.4,22303.051317711277,279259571
1713843900,22447.051,22447.551,22349.449,22368,22309.23690650068,231520813
1713930300,22421.551,22476.449,22384,22402.4,22318.109582072044,235898642
1714016700,22316.9,22625.949,22305.25,22570.35,22342.132479017564,475044740
1714103100,22620.4,22620.4,22385.551,22419.949,22349.543576253986,329887340
1714362300,22475.551,22655.801,22441.9,22643.4,22377.529902325034,291957361
1714448700,22679.65,22783.35,22568.4,22604.85,22399.179435436934,361859375
1714621500,22567.85,22710.5,22567.85,22648.199,22422.89558444294,445909456
1714707900,22766.35,22794.699,22348.051,22475.85,22427.93886211504,438060727
1714967100,22561.6,22588.801,22409.449,22442.699,22429.344589532655,320255789
1715053500,22489.75,22499.051,22232.051,22302.5,22417.264152434305,297815469
1715139900,22231.199,22368.65,22185.199,22302.5,22406.33423315485,277438692
1715226300,22224.801,22307.75,21932.4,21957.5,22363.58811571153,331327454
