pid,ud1,ud1_d,ud2,ud2_d,ud3,ud3_d,ud4,ud4_d,ud5,ud5_d,ud6,ud6_d,ud7,ud7_d
19,0,-0.09699800000000003,1,0.09799899999999995,0,-0.2729999999999999,1,0.14849899999999994,0,-0.18999899999999992,1,0.11399999999999999,0,-0.010000000000000009
20,0,-0.04599999999999993,1,0.17399999999999993,0,-0.08999999999999997,1,0.17800099999999996,0,-0.024500999999999995,1,0.26249999999999996,0,-0.08199999999999985
21,1,0.028000999999999943,0,-0.16900100000000007,1,0.19400099999999998,0,-0.03250099999999989,0,-0.10150000000000015,1,0.13600000000000012,1,0.23350000000000004
22,0,-0.1775,1,0.03699999999999992,1,0.1924999999999999,1,0.139,1,0.20700000000000007,0,-0.127,1,0.148501
23,1,0.16249999999999987,0,-0.28149999999999986,1,0.36050000000000004,0,-0.1575010000000001,1,0.33850100000000016,1,0.13649999999999984,1,0.36350000000000016
24,0,-0.15299999999999958,0,-0.3150000000000004,1,0.3075000000000001,0,-0.3534999999999999,1,0.28700100000000006,0,-0.15399999999999991,1,0.31849899999999964
25,1,0.04150000000000009,0,-0.6045000000000003,1,0.10600000000000032,0,-0.2369990000000004,0,-0.13450099999999976,1,0.4235009999999999,0,-0.09550100000000006
26,0,-0.12150099999999986,1,0.45299999999999985,0,-0.061499999999999666,1,0.27,0,-0.42899900000000013,0,-0.352001,0,-0.08400000000000007
27,1,0.18700000000000006,0,-0.11149900000000001,1,0.25999899999999987,0,-0.18999999999999995,0,-0.24350000000000005,0,-0.03849999999999998,1,0.3035000000000001
28,0,-0.07200099999999998,1,0.28500100000000006,0,-0.17899999999999983,1,0.17649999999999988,0,-0.13500000000000023,0,-0.3064999999999998,0,-0.018000000000000016
29,0,-0.131,1,0.1200000000000001,0,-0.08749999999999991,0,-0.09050000000000002,1,0.1399999999999999,1,0.1060000000000001,0,-0.07200000000000006
30,0,-0.10200000000000009,1,0.24150000000000005,1,0.3969990000000001,1,0.04150099999999979,0,-0.25,1,0.1495000000000002,0,-0.08749999999999991
31,1,0.20699999999999985,0,-0.1695000000000002,1,0.21549900000000033,0,-0.35899900000000007,0,-0.040000000000000036,1,0.495001,0,-0.03950100000000001
32,0,-0.1995009999999997,1,0.04100099999999962,0,-0.10399999999999965,0,-0.22050100000000006,0,-0.0405000000000002,1,0.08700000000000019,0,-0.13250000000000006
33,0,-0.06099999999999994,0,-0.16149999999999998,1,0.223001,0,-0.13000100000000003,1,0.26049900000000004,0,-0.2879990000000001,1,0.06299900000000003
34,1,0.020000000000000018,0,-0.36650099999999997,0,-0.009498000000000006,1,0.3079989999999999,0,-0.125,1,0.14200100000000004,1,0.2835000000000001
35,0,-0.034499999999999975,1,0.25700100000000003,1,0.017999000000000098,0,-0.24200000000000021,1,0.10850000000000004,0,-0.19300099999999998,1,0.11450099999999996
36,1,0.13299899999999987,0,-0.1829989999999999,1,0.34499899999999983,1,0.6030000000000002,1,0.2985509999999998,0,-0.1100509999999999,1,0.41500000000000004
37,1,0.23249999999999993,0,-0.3085,1,0.3810009999999999,0,-0.2925010000000001,1,0.8464950000000004,0,-0.6899950000000001,1,0.31499999999999995
38,1,0.6784949999999998,0,-0.18599499999999924,1,0.5530009999999992,0,-0.604501,0,-0.08430999999999944,0,-0.5021900000000001,1,0.8009999999999997
39,0,-0.2829999999999995,1,0.5579999999999998,0,-1.1139999999999999,0,-0.274,1,0.46199999999999974,0,-0.7650009999999998,1,0.6760009999999999
40,0,-0.13350000000000017,1,0.4734999999999996,0,-0.47799999999999976,1,0.4939999999999998,1,0.11100000000000065,0,-0.012500000000000178,0,-0.532
41,0,-0.1735000000000002,1,0.5375000000000001,0,-0.0884999999999998,1,0.5540000000000003,0,-0.8245000000000005,1,0.47299999999999986,0,-1.25
42,0,-0.3644989999999999,1,0.4744989999999998,0,-0.5614999999999997,0,-0.6095000000000002,1,0.819,1,0.2974999999999999,0,-0.34099999999999975
43,1,0.0030000000000001137,1,0.8275000000000001,0,-0.30299900000000024,1,0.754499,0,-0.04349999999999987,1,0.4874999999999998,0,-0.27499899999999977
44,0,-0.3084990000000003,1,0.6979990000000003,0,-0.19500000000000028,0,-0.40149999999999997,1,0.9120000000000004,0,-0.48149900000000034,0,-0.03400099999999995
45,0,-0.39100100000000015,1,0.7805,0,-0.01499999999999968,1,1.252001,1,0.30749400000000016,0,-0.3769940000000007,1,0.709498
46,1,0.6629990000000001,0,-0.7669999999999995,1,0.625,0,-0.7000000000000002,0,-0.4735000000000005,1,0.12300000000000022,1,0.3745000000000003
47,1,0.14800099999999983,1,0.9299990000000005,0,-1.2555000000000005,1,0.44450000000000056,0,-0.707999,1,0.4524979999999994,0,-0.28649899999999917
48,0,-0.14149999999999974,0,-0.6194999999999995,1,0.7519999999999998,0,-0.33950000000000014,1,0.3464999999999998,1,0.7499989999999999,1,0.5970010000000006
49,1,0.4450000000000003,0,-0.3849999999999998,1,0.5804999999999989,1,0.4344999999999999,0,-0.777499999999999,1,1.0855009999999998,1,0.16299899999999923
50,1,0.5625,0,-0.6914999999999996,1,0.3514999999999997,0,-0.7405000000000008,1,1.0390000000000015,0,-1.4725000000000001,1,1.1534999999999993
51,1,0.09100000000000108,1,0.7164999999999999,1,0.47200100000000056,0,-0.6780010000000001,0,-0.4430000000000014,1,1.7315000000000005,0,-0.2534989999999997
52,0,-1.9489999999999998,1,3.2074999999999996,0,-1.4855,1,1.7365010000000005,0,-0.4550010000000011,0,-1.9604999999999997,1,0.9460010000000008
53,1,0.27100100000000005,0,-1.826550000000001,1,0.6920510000000011,0,-1.0945,1,0.0789989999999996,1,0.9260000000000002,0,-0.4734999999999996
54,0,-0.1639999999999997,1,1.159001,0,-0.8599990000000002,1,0.3874999999999993,1,1.543000000000001,1,0.25249900000000025,0,-0.6895000000000007
55,0,-0.35550000000000104,1,1.0655000000000001,0,-0.708499999999999,1,0.08449999999999847,1,1.0135010000000015,0,-0.2440010000000008,1,0.734
56,1,0.7124980000000001,0,-1.8774979999999992,1,0.7660009999999993,0,-0.03400099999999995,0,-0.8480500000000006,1,1.53355,0,-0.028999999999999915
57,1,0.48700099999999935,0,-0.815999999999999,1,1.1639619999999997,1,0.7765369999999994,0,-1.1819939999999995,1,0.7375000000000007,0,-0.9540040000000012
